205130;Eukaryota;Chordata;Actinopteri;Synbranchiformes;Mastacembelidae;Mastacembelus;Mastacembelus armatus
210632;Eukaryota;Chordata;Actinopteri;;Ambassidae;Parambassis;Parambassis ranga
215358;Eukaryota;Chordata;Actinopteri;;Sciaenidae;Larimichthys;Larimichthys crocea
219594;Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Aythya;Aythya fuligula
221976;Eukaryota;Chordata;Aves;Passeriformes;Passeridae;Pyrgilauda;Pyrgilauda ruficollis
8962;Eukaryota;Chordata;Aves;Accipitriformes;Accipitridae;Aquila;Aquila chrysaetos
240206;Eukaryota;Chordata;Aves;Ciconiiformes;Pteroclidae;Pterocles;Pterocles gutturalis
241271;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cheilinus;Cheilinus undulatus
244447;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cynoglossidae;Cynoglossus;Cynoglossus semilaevis
259920;Eukaryota;Chordata;Chondrichthyes;Orectolobiformes;Rhincodontidae;Rhincodon;Rhincodon typus
260615;Eukaryota;Chordata;;Testudines;Geoemydidae;Mauremys;Mauremys reevesii
260995;Eukaryota;Chordata;Amphibia;Gymnophiona;Dermophiidae;Geotrypetes;Geotrypetes seraphini
279965;Eukaryota;Chordata;Aves;Caprimulgiformes;Caprimulgidae;Antrostomus;Antrostomus carolinensis
283035;Eukaryota;Chordata;Actinopteri;Perciformes;Percidae;Sander;Sander lucioperca
296741;Eukaryota;Chordata;Aves;Passeriformes;Pipridae;Chiroxiphia;Chiroxiphia lanceolata
40157;Eukaryota;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura striata
299321;Eukaryota;Chordata;Actinopteri;Clupeiformes;Denticipitidae;Denticeps;Denticeps clupeoides
303518;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Pundamilia;Pundamilia nyererei
307959;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Sinocyclocheilus;Sinocyclocheilus rhinocerous
308060;Eukaryota;Chordata;Aves;Apterygiformes;Apterygidae;Apteryx;Apteryx rowi
310571;Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus lanceolatus
310915;Eukaryota;Chordata;Actinopteri;Siluriformes;Pangasiidae;Pangasianodon;Pangasianodon hypophthalmus
321398;Eukaryota;Chordata;Aves;Passeriformes;Pipridae;Lepidothrix;Lepidothrix coronata
328815;Eukaryota;Chordata;Aves;Passeriformes;Pipridae;Manacus;Manacus vitellinus
345164;Eukaryota;Chordata;Aves;Falconiformes;Falconidae;Falco;Falco cherrug
356909;Eukaryota;Chordata;Aves;Passeriformes;Passeridae;Onychostruthus;Onychostruthus taczanowskii
375764;Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Sphaeramia;Sphaeramia orbicularis
8845;Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anser;Anser cygnoides
386614;Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Amblyraja;Amblyraja radiata
390379;Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Thalassophryne;Thalassophryne amazonica
409849;Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Periophthalmus;Periophthalmus magnuspinnatus
415028;Eukaryota;Chordata;Aves;Passeriformes;Pipridae;Corapipo;Corapipo altera
417921;Eukaryota;Chordata;Actinopteri;Perciformes;Percidae;Etheostoma;Etheostoma cragini
433405;Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarrhichthys;Anarrhichthys ocellatus
441366;Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gouania;Gouania willdenowi
8801;Eukaryota;Chordata;Aves;Struthioniformes;Struthionidae;Struthio;Struthio camelus
451745;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Rivulidae;Nematolebias;Nematolebias whitei
69293;Eukaryota;Chordata;Actinopteri;Perciformes;Gasterosteidae;Gasterosteus;Gasterosteus aculeatus
586833;Eukaryota;Chordata;Actinopteri;Holocentriformes;Holocentridae;Myripristis;Myripristis murdjan
649802;Eukaryota;Chordata;Aves;Passeriformes;Pipridae;Pipra;Pipra filicauda
181096;Eukaryota;Chordata;Aves;Passeriformes;Corvidae;Corvus;Corvus cornix
941984;Eukaryota;Chordata;Actinopteri;;Toxotidae;Toxotes;Toxotes jaculatrix
45807;Eukaryota;Chordata;Aves;Passeriformes;Motacillidae;Motacilla;Motacilla alba
1196302;Eukaryota;Chordata;Aves;Passeriformes;Corvidae;Corvus;Corvus moneduloides
1203425;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Notolabrus;Notolabrus celidotus
1234273;Eukaryota;Chordata;Actinopteri;Siluriformes;Bagridae;Tachysurus;Tachysurus fulvidraco
1250792;Eukaryota;Chordata;Actinopteri;Atheriniformes;Melanotaeniidae;Melanotaenia;Melanotaenia boesemani
1415580;Eukaryota;Chordata;Amphibia;Gymnophiona;Siphonopidae;Microcaecilia;Microcaecilia unicolor
1606681;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Puntigrus;Puntigrus tetrazona
1608454;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Sinocyclocheilus;Sinocyclocheilus anshuiensis
1676925;Eukaryota;Chordata;Actinopteri;Osteoglossiformes;Mormyridae;Paramormyrops;Paramormyrops kingsleyae
1825980;Eukaryota;Chordata;;Testudines;Testudinidae;Gopherus;Gopherus evgoodei
302047;Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola lalandi
2489341;Eukaryota;Chordata;Aves;Psittaciformes;Psittacidae;Strigops;Strigops habroptila
158814;Eukaryota;Chordata;;Testudines;Emydidae;Terrapene;Terrapene carolina
