72036;Eukaryota;Arthropoda;Hexanauplia;Siphonostomatoida;Caligidae;Lepeophtheirus;Lepeophtheirus salmonis
72248;Eukaryota;Arthropoda;Insecta;Lepidoptera;Pieridae;Colias;Colias croceus
72781;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Formica;Formica exsecta
76193;Eukaryota;Arthropoda;Insecta;Lepidoptera;Papilionidae;Papilio;Papilio machaon
76194;Eukaryota;Arthropoda;Insecta;Lepidoptera;Papilionidae;Papilio;Papilio polytes
77166;Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Dendroctonus;Dendroctonus ponderosae
79782;Eukaryota;Arthropoda;Insecta;Hemiptera;Cimicidae;Cimex;Cimex lectularius
80765;Eukaryota;Arthropoda;Insecta;Hemiptera;Aphididae;Aphis;Aphis gossypii
83485;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Linepithema;Linepithema humile
88015;Eukaryota;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis
91411;Eukaryota;Arthropoda;Insecta;Hymenoptera;Vespidae;Polistes;Polistes canadensis
91739;Eukaryota;Arthropoda;Insecta;Lepidoptera;Lycaenidae;Aricia;Aricia agestis
93504;Eukaryota;Arthropoda;Insecta;Lepidoptera;Crambidae;Ostrinia;Ostrinia furnacalis
103372;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Acromyrmex;Acromyrmex echinatior
103933;Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Bombus;Bombus bifarius
104421;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Camponotus;Camponotus floridanus
104688;Eukaryota;Arthropoda;Insecta;Diptera;Tephritidae;Bactrocera;Bactrocera oleae
105785;Eukaryota;Arthropoda;Insecta;Blattodea;Kalotermitidae;Cryptotermes;Cryptotermes secundus
108931;Eukaryota;Arthropoda;Insecta;Hemiptera;Delphacidae;Nilaparvata;Nilaparvata lugens
109461;Eukaryota;Arthropoda;Arachnida;Mesostigmata;Varroidae;Varroa;Varroa destructor
110193;Eukaryota;Arthropoda;Insecta;Coleoptera;Silphidae;Nicrophorus;Nicrophorus vespilloides
110368;Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Bicyclus;Bicyclus anynana
113334;Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Melitaea;Melitaea cinxia
114398;Eukaryota;Arthropoda;Arachnida;Araneae;Theridiidae;Parasteatoda;Parasteatoda tepidariorum
115081;Eukaryota;Arthropoda;Insecta;Hymenoptera;Halictidae;Megalopta;Megalopta genalis
115357;Eukaryota;Arthropoda;Insecta;Coleoptera;Coccinellidae;Harmonia;Harmonia axyridis
116150;Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Pararge;Pararge aegeria
116153;Eukaryota;Arthropoda;Insecta;Coleoptera;Nitidulidae;Aethina;Aethina tumida
121225;Eukaryota;Arthropoda;Insecta;Phthiraptera;Pediculidae;Pediculus;Pediculus humanus
121845;Eukaryota;Arthropoda;Insecta;Hemiptera;Liviidae;Diaphorina;Diaphorina citri
125945;Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila biarmipes
129105;Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila santomea
132113;Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Bombus;Bombus impatiens
133434;Eukaryota;Echinodermata;Asteroidea;Valvatida;Acanthasteridae;Acanthaster;Acanthaster planci
133901;Eukaryota;Arthropoda;Insecta;Thysanoptera;Thripidae;Frankliniella;Frankliniella occidentalis
136037;Eukaryota;Arthropoda;Insecta;Blattodea;Termopsidae;Zootermopsis;Zootermopsis nevadensis
139649;Eukaryota;Arthropoda;Insecta;Diptera;Diopsidae;Teleopsis;Teleopsis dalmanni
143948;Eukaryota;Arthropoda;Insecta;Hemiptera;Aphididae;Diuraphis;Diuraphis noxia
143950;Eukaryota;Arthropoda;Insecta;Hemiptera;Aphididae;Sipha;Sipha flava
143995;Eukaryota;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachile;Megachile rotundata
144034;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Pogonomyrmex;Pogonomyrmex barbatus
151771;Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Nephtheidae;Dendronephthya;Dendronephthya gigantea
156304;Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Ceratina;Ceratina calcarata
158441;Eukaryota;Arthropoda;Collembola;Entomobryomorpha;Isotomidae;Folsomia;Folsomia candida
161013;Eukaryota;Arthropoda;Insecta;Thysanoptera;Thripidae;Thrips;Thrips palmi
166361;Eukaryota;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Onthophagus;Onthophagus taurus
174628;Eukaryota;Arthropoda;Insecta;Diptera;Tephritidae;Bactrocera;Bactrocera latifrons
178035;Eukaryota;Arthropoda;Insecta;Hymenoptera;Halictidae;Dufourea;Dufourea novaeangliae
7165;Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;Anopheles gambiae
183418;Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis laboriosa
189513;Eukaryota;Arthropoda;Insecta;Neuroptera;Chrysopidae;Chrysoperla;Chrysoperla carnea
191418;Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Maniola;Maniola jurtina
197161;Eukaryota;Arthropoda;Insecta;Odonata;Coenagrionidae;Ischnura;Ischnura elegans
198719;Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila innubila
202533;Eukaryota;Arthropoda;Arachnida;Araneae;Eresidae;Stegodyphus;Stegodyphus dumicola
207650;Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Bombus;Bombus vosnesenskii
210409;Eukaryota;Arthropoda;Malacostraca;Decapoda;Portunidae;Portunus;Portunus trituberculatus
211228;Eukaryota;Arthropoda;Insecta;Hymenoptera;Cephidae;Cephus;Cephus cinctus
